thread_id,agent_path,task_group,turn_id,started_at,started_at_local,completed_at,completed_at_local,duration_seconds,time_to_first_token_seconds,outcome,model,reasoning_effort,error,result_sha256,result_excerpt
01a0a27a-ca91-71f0-8464-a951770c2b30,/root/c3_cumulative_validation,P1-04,01a0a27a-cb9f-72f2-88cd-9bc72360d283,2026-09-15T00:32:31Z,2026-09-15T02:32:31+02:00,2026-09-15T00:44:36Z,2026-09-15T02:44:36+02:00,724.933,4.454,completed,gpt-5.6-sol,high,,8682e01c287d030dbd0c7fe6d9eb62f457d0e30b7eb1f4cca5f0ac0aae79049f,
01a0a286-d383-7bc1-9ae8-be8a8ad58a3f,/root/c3_cumulative_failure_diagnosis,P1-04,01a0a286-d47f-79a3-b1bc-8bbe4266c530,2026-09-15T00:45:40Z,2026-09-15T02:45:40+02:00,2026-09-15T00:57:41Z,2026-09-15T02:57:41+02:00,721.352,3.592,completed,gpt-5.6-sol,high,,8fa989a5d8ecf452cebbf8ce2929a22708633447acec02e4b72787f9d359374a,
01a0a292-de8c-7522-9aec-dcf20c5249bb,/root/c3_reslice_spec_review,P1-04,01a0a292-df9f-7ca2-830b-db2cd027c115,2026-09-15T00:58:49Z,2026-09-15T02:58:49+02:00,2026-09-15T01:07:30Z,2026-09-15T03:07:30+02:00,520.607,6.314,completed,gpt-5.6-sol,xhigh,,3f222d5bc7ea8d7ef70635602404e74c921d5c95bd521e902ee388e44821c035,
01a0a29b-7fcd-76b1-bb51-ab4139d41d85,/root/c3_reslice_spec_review_v2,P1-04,01a0a29b-80e2-7ca0-ab72-0f470c98b601,2026-09-15T01:08:15Z,2026-09-15T03:08:15+02:00,2026-09-15T01:15:06Z,2026-09-15T03:15:06+02:00,411.598,6.404,completed,gpt-5.6-sol,xhigh,,74e9d73a54cee046c336deb7918aca97827665821cf4f121fee286b8df925721,
01a0a2a2-7ea4-7f40-a5c6-c86373782d92,/root/c3_firebase_writer,P1-04,01a0a2a2-7fca-7c03-a7c6-d1ffd8043ee6,2026-09-15T01:15:53Z,2026-09-15T03:15:53+02:00,2026-09-15T01:22:14Z,2026-09-15T03:22:14+02:00,380.984,4.344,completed,gpt-5.6-terra,high,,a9ddd95aa5c2304168652d2fc9208c145de95aea1c942210fb3d03862dea475a,
01a0a2a2-7ea4-7f40-a5c6-c86373782d92,/root/c3_firebase_writer,P1-04,01a0a2b0-0686-7e93-bf68-39a8dd6ca63d,2026-09-15T01:30:40Z,2026-09-15T03:30:40+02:00,2026-09-15T01:34:03Z,2026-09-15T03:34:03+02:00,202.876,2.385,completed,gpt-5.6-terra,high,,321e4019b6e02211a5530d39d28531b2a2242e62c096dc3dec9f1335a43d4134,
01a0a2a2-7ea4-7f40-a5c6-c86373782d92,/root/c3_firebase_writer,P1-04,01a0a302-760e-7ab1-b327-127718654dbf,2026-09-15T03:00:42Z,2026-09-15T05:00:42+02:00,2026-09-15T03:08:36Z,2026-09-15T05:08:36+02:00,473.412,6.068,completed,gpt-5.6-terra,high,,0b3efbf71fb38d7e558fcccc5bbd3a13153d4ed3a269f6e5a58ea3767c640486,
01a0a2a9-1c2f-70d3-a951-a713baadc289,/root/c3_firebase_review,P1-04,01a0a2a9-1dd7-76c2-b648-3833f399ddac,2026-09-15T01:23:07Z,2026-09-15T03:23:07+02:00,2026-09-15T01:30:04Z,2026-09-15T03:30:04+02:00,417.075,4.299,completed,gpt-5.6-sol,xhigh,,b7416879a5dd545dc8557f6b15be03f208c7a701a581e41cde900beebbda8f3e,
01a0a2a9-1c2f-70d3-a951-a713baadc289,/root/c3_firebase_review,P1-04,01a0a2b3-e7db-7ef0-b9c6-4d50d0e0d8e5,2026-09-15T01:34:54Z,2026-09-15T03:34:54+02:00,2026-09-15T01:37:05Z,2026-09-15T03:37:05+02:00,130.699,2.723,completed,gpt-5.6-sol,xhigh,,e56bd317ff80f84d73e793b51ddfd68187305cdc443b5f6a8b3d76ab990669f9,
01a0a2a9-1c2f-70d3-a951-a713baadc289,/root/c3_firebase_review,P1-04,01a0a30a-eb85-76b2-bcc5-0b43754ec23c,2026-09-15T03:09:57Z,2026-09-15T05:09:57+02:00,2026-09-15T03:13:40Z,2026-09-15T05:13:40+02:00,223.572,4.244,completed,gpt-5.6-sol,xhigh,,c43b35766b15af3b0ca4a76fee2ef79f4d5108ec069b147c80dc192c97bf3ea6,
01a0a2b6-70bd-75e3-8e54-7ab41f5b091d,/root/c3_coordinator_writer,P1-04,01a0a2b6-71e0-7331-87fe-a932dd99b492,2026-09-15T01:37:40Z,2026-09-15T03:37:40+02:00,2026-09-15T01:41:08Z,2026-09-15T03:41:08+02:00,207.295,3.761,completed,gpt-5.6-terra,medium,,18b2f1450709f7d0283f61673245de9b6b17b19b69e63dfba0a313339649c037,
01a0a2b6-70bd-75e3-8e54-7ab41f5b091d,/root/c3_coordinator_writer,P1-04,01a0a2be-a845-7af2-9b50-b53a639de750,2026-09-15T01:46:39Z,2026-09-15T03:46:39+02:00,2026-09-15T01:48:54Z,2026-09-15T03:48:54+02:00,135.264,2.986,completed,gpt-5.6-terra,medium,,531f9d4e06d8f4fb081d5aa1ec63c4c1db4bf9a483abcaf1e2f32768def8880a,
01a0a2b6-70bd-75e3-8e54-7ab41f5b091d,/root/c3_coordinator_writer,P1-04,01a0a2e3-15c2-78b2-9c34-7cb6f83728d3,2026-09-15T02:26:26Z,2026-09-15T04:26:26+02:00,2026-09-15T02:33:13Z,2026-09-15T04:33:13+02:00,407.591,2.908,completed,gpt-5.6-terra,medium,,d19ed43c890bb87675c6cd12b90c9f94af4c3e03efbd90156ef52e59cffa5513,
01a0a2ba-3211-7213-b3c4-5efb7e5f39e8,/root/c3_coordinator_review,P1-04,01a0a2ba-3321-7543-9a0b-66b0e9a7980f,2026-09-15T01:41:46Z,2026-09-15T03:41:46+02:00,2026-09-15T01:46:03Z,2026-09-15T03:46:03+02:00,256.33,3.99,completed,gpt-5.6-sol,high,,b9298d5c51c6474c3a1f15b73147acd3667e8cfa8c7a50cfc0d9b5c189893922,
01a0a2ba-3211-7213-b3c4-5efb7e5f39e8,/root/c3_coordinator_review,P1-04,01a0a2c1-5901-7e93-8638-37b37b44a620,2026-09-15T01:49:35Z,2026-09-15T03:49:35+02:00,2026-09-15T01:50:50Z,2026-09-15T03:50:50+02:00,74.942,2.469,completed,gpt-5.6-sol,high,,c5936a5fe7fc7676d9d3b10c472aac532b5eb9bb380309471b55464a268c9630,
01a0a2ba-3211-7213-b3c4-5efb7e5f39e8,/root/c3_coordinator_review,P1-04,01a0a2ea-1b15-7fa3-8e0f-8f7a9bb29c25,2026-09-15T02:34:06Z,2026-09-15T04:34:06+02:00,2026-09-15T02:37:50Z,2026-09-15T04:37:50+02:00,223.894,3.871,completed,gpt-5.6-sol,high,,bc33cf28ca0c23bffbac325dd2a12939fec3e4d9553f9ca280e8d8dd2290770b,
01a0a2c3-8020-7b03-94c1-386d163cdb85,/root/c3_handoff_writer,P1-04,01a0a2c3-812a-7ae0-982f-43b1257c5786,2026-09-15T01:51:56Z,2026-09-15T03:51:56+02:00,2026-09-15T02:00:11Z,2026-09-15T04:00:11+02:00,494.757,4.284,completed,gpt-5.6-terra,high,,a884139d7694cce2e4f71c4932b9ebf45f612bdb78069472481e4f007c934305,
01a0a2cb-d043-7c71-9cff-c5db2d6e88aa,/root/c3_handoff_review,P1-04,01a0a2cb-d162-7da1-90df-0982fbebf063,2026-09-15T02:01:01Z,2026-09-15T04:01:01+02:00,2026-09-15T02:03:24Z,2026-09-15T04:03:24+02:00,143.257,3.972,completed,gpt-5.6-sol,high,,cb3c3c2ff9dc24cd0f93c6edb100bba5a3614e4ed5dadb15108401fe41b731f8,
01a0a2d0-cdce-7f91-aa69-faecf9c3d45e,/root/c3_cumulative_validation_v2,P1-04,01a0a2d0-ceca-7793-99e4-66b0149e76d7,2026-09-15T02:06:28Z,2026-09-15T04:06:28+02:00,2026-09-15T02:17:11Z,2026-09-15T04:17:11+02:00,643.075,4.189,completed,gpt-5.6-sol,high,,95a7e7d84db30a0c94428e84f731f6d319f906f3eb596ceeb2f08f8a2e616716,
01a0a2dd-1c16-7db3-9de7-a69f799f4d7c,/root/c3_final_acceptance,P1-04,01a0a2dd-1d2e-7c12-b04a-5b77ed3ce467,2026-09-15T02:19:55Z,2026-09-15T04:19:55+02:00,2026-09-15T02:24:23Z,2026-09-15T04:24:23+02:00,268.543,5.368,completed,gpt-6-astra,xhigh,,d15acfce3091ce8b948d3ab958d61b86cbf79a08947eae6dc4ff55e6c44cd208,
01a0a2ee-efbe-7773-9a60-162ac276bcb9,/root/c3_cumulative_validation_v3,P1-04,01a0a2ee-f0c7-72b2-a3a9-cc3d9cb97c1e,2026-09-15T02:39:23Z,2026-09-15T04:39:23+02:00,2026-09-15T02:51:11Z,2026-09-15T04:51:11+02:00,707.754,6.738,completed,gpt-5.6-sol,high,,132505910150efedebafabcd409916782dddc8d844447d90cd1b1a314717d26d,
01a0a2fa-55cc-7153-865b-1158732a33f9,/root/c3_final_acceptance_v2,P1-04,01a0a2fa-56bf-7db3-b7b9-d14d4cb30fca,2026-09-15T02:51:50Z,2026-09-15T04:51:50+02:00,2026-09-15T02:59:22Z,2026-09-15T04:59:22+02:00,452.318,7.689,completed,gpt-6-astra,xhigh,,418ef7366f513fab9c8491b7851d20d15096f80ec65c1a25e69995defceda08a,
01a0a310-517d-78d1-8a86-f0249856d0da,/root/c3_cumulative_validation_v4,P1-04,01a0a310-52a7-74e1-bc3e-1cb70fe73cc7,2026-09-15T03:15:51Z,2026-09-15T05:15:51+02:00,2026-09-15T03:25:52Z,2026-09-15T05:25:52+02:00,600.939,12.411,completed,gpt-5.6-sol,high,,f51ce7cf43c4c970a356ce0c17d17bfc742b0c2ab9eba42420afd45fa6f163cc,
01a0a319-fbc1-7160-ac7d-92d4e33b8282,/root/c3_final_acceptance_v3,P1-04,01a0a319-fccd-7483-9f59-721a580743e4,2026-09-15T03:26:24Z,2026-09-15T05:26:24+02:00,2026-09-15T03:31:30Z,2026-09-15T05:31:30+02:00,306.205,4.188,completed,gpt-6-astra,xhigh,,6512c4420d8b66fed978fe207478f0a22ac00cbb5cb850622afbed21f0abd26b,
01a0a31f-d9e2-7c83-92d8-dd884d6ff39a,/root/c3_ci_monitor,P1-04,01a0a31f-daec-7e83-92a9-a2f51bde86a9,2026-09-15T03:32:49Z,2026-09-15T05:32:49+02:00,2026-09-15T03:36:57Z,2026-09-15T05:36:57+02:00,248.709,5.733,completed,gpt-5.6-luna,low,,5dab5e476d8d493bb9b27a72c3a9e473f797c083b7427f05f8b921cf1387c6f4,
01a0a325-3101-7a71-aeb1-d40e9fa7d497,/root/e1_writer,cross-cutting,01a0a325-320c-77a1-9072-31038ab1b87d,2026-09-15T03:38:38Z,2026-09-15T05:38:38+02:00,2026-09-15T04:34:22Z,2026-09-15T06:34:22+02:00,3343.709,3.817,completed,gpt-6-astra,xhigh,,44a37ab08284229b85a5f440478c376ce8ded3d8098028848116184b6f0f35c5,
01a0a358-c7ba-7b20-b5dd-feb2e57f24fd,/root/e1_reviewer,cross-cutting,01a0a358-c8ef-7951-bfbd-3ac7b2fe0d15,2026-09-15T04:34:59Z,2026-09-15T06:34:59+02:00,2026-09-15T04:40:07Z,2026-09-15T06:40:07+02:00,307.619,4.668,completed,gpt-6-astra,xhigh,,df26896447c50b9e2bac1abe55f7c8fda671c5aec16cf08ef6bd256c15f38b72,
01a0a35e-e36b-7732-8ef6-cb2e3ea39df2,/root/e1_cumulative_validation,cross-cutting,01a0a35e-e4de-7d43-8b63-b3ed7a412453,2026-09-15T04:41:40Z,2026-09-15T06:41:40+02:00,2026-09-15T04:52:57Z,2026-09-15T06:52:57+02:00,677.301,8.329,completed,gpt-5.6-sol,high,,375af267da853c7876a05dc6f2c3ca5075d5a3c22f732a8584beb34200ccd689,
01a0a35e-e36b-7732-8ef6-cb2e3ea39df2,/root/e1_cumulative_validation,cross-cutting,01a0a36b-6131-7a63-8999-d9b7dd72d25a,2026-09-15T04:55:18Z,2026-09-15T06:55:18+02:00,2026-09-15T05:02:49Z,2026-09-15T07:02:49+02:00,450.769,23.641,completed,gpt-5.6-sol,high,,78ede2c0a9c34d751a1cf7e3900d5eb1a3dbb5ce5bbf2340a84b5a13d2000760,
01a0a373-2405-7b72-8149-ba1d23bdb385,/root/e1_final_acceptance,cross-cutting,01a0a373-2504-7521-aed6-14be8a1e8629,2026-09-15T05:03:47Z,2026-09-15T07:03:47+02:00,2026-09-15T05:08:44Z,2026-09-15T07:08:44+02:00,296.813,5.453,completed,gpt-6-astra,xhigh,,75d6816831e7ba4314aff73dff39df69937fe91624c0bef07768a1fd25a4cba5,
01a0a378-bc0b-7040-90e8-6b96601122cf,/root/e1_ci_monitor,cross-cutting,01a0a378-bd1d-7370-9532-aa8da5eae25f,2026-09-15T05:09:54Z,2026-09-15T07:09:54+02:00,2026-09-15T05:14:25Z,2026-09-15T07:14:25+02:00,271.169,2.72,completed,gpt-5.6-luna,low,,5cda202ee999732dbc1ff167e2319e790bc47d7f7e8c8a7fa5eac38bbcc1f734,
01a0a37d-e684-7781-a2c7-1b0d3e275ab8,/root/closeout_writer,cross-cutting,01a0a37d-e780-7180-82de-b9f37a5b1c65,2026-09-15T05:15:32Z,2026-09-15T07:15:32+02:00,2026-09-15T05:21:59Z,2026-09-15T07:21:59+02:00,387.315,3.852,completed,gpt-6-astra,high,,f5db416f2cbfc08870235b55b12c5d8881ffc96a7b4ccabc1ad544cc6fe106a9,
01a0a384-6006-7240-8498-5517c16162f0,/root/closeout_reviewer,cross-cutting,01a0a384-6134-7a70-a310-97daed41f14d,2026-09-15T05:22:36Z,2026-09-15T07:22:36+02:00,2026-09-15T05:24:21Z,2026-09-15T07:24:21+02:00,104.764,2.955,completed,gpt-6-astra,high,,a790518ca4010cefe9e7608014427d338806f23f5937a78fab71a18537795c8d,
01a0a389-b24f-7d53-8eef-621fe4724145,/root/closeout_ci_monitor,cross-cutting,01a0a389-b364-73b3-8336-0453618f615e,2026-09-15T05:28:25Z,2026-09-15T07:28:25+02:00,2026-09-15T05:32:46Z,2026-09-15T07:32:46+02:00,260.468,3.875,completed,gpt-5.6-luna,low,,fda5df7ac6a907ae3b6bedbf5e5409d06034f567c0ad9d21319dacfbf27441b5,
01a0a6a2-cbde-7fc1-bcc0-d9a446e93119,/root/p1_04_05_review_brief,P1-04,01a0a6a2-cdf0-7681-871e-4881a562d779,2026-09-15T19:54:42Z,2026-09-15T21:54:42+02:00,2026-09-15T20:04:27Z,2026-09-15T22:04:27+02:00,584.641,9.378,completed,gpt-6-astra,high,,3baf80331f612071ac88595f40c72cfec581ba153cff2e260bda63d9627223e6,
